Voltage,Time_ms 
036,3318006755
087,3318007341
131,3318007960
162,3318008542
180,3318009126
194,3318009714
204,3318010306
212,3318010901
215,3318011495
216,3318012082
211,3318012667
164,3318013254
119,3318013841
071,3318014429
031,3318015020
000,3318015607
000,3318016197
000,3318016786
000,3318017376
000,3318017979
000,3318018571
000,3318019173
000,3318019759
000,3318020352
000,3318020940
000,3318021531
000,3318022122
000,3318022712
000,3318023298
000,3318023913
000,3318024495
000,3318025078
000,3318025664
025,3318026254
073,3318026840
121,3318027437
156,3318028019
176,3318028603
191,3318029187
201,3318029772
210,3318030361
214,3318030949
216,3318031535
215,3318032123
182,3318032710
132,3318033295
085,3318033886
043,3318034472
001,3318035065
000,3318035653
000,3318036243
000,3318036832
000,3318037458
000,3318038037
000,3318038612
000,3318039184
000,3318039752
000,3318040321
000,3318040890
000,3318041458
000,3318042025
000,3318042596
000,3318043169
000,3318043741
000,3318044313
000,3318044882
000,3318045455
038,3318046027
085,3318046602
130,3318047464
170,3318048065
187,3318048655
198,3318049241
208,3318049830
213,3318050417
215,3318051011
215,3318051595
193,3318052195
146,3318052780
097,3318053374
054,3318053999
007,3318054590
000,3318055182
000,3318055771
000,3318056356
000,3318057007
000,3318057598
000,3318058184
000,3318058774
000,3318059362
000,3318059954
000,3318060542
000,3318061133
000,3318061720
000,3318062311
000,3318062894
000,3318063483
000,3318064071
000,3318064663
002,3318065249
048,3318065837
100,3318066457
140,3318067058
169,3318067644
185,3318068229
198,3318068818
206,3318069402
212,3318069990
215,3318070578
215,3318071165
199,3318071750
153,3318072332
106,3318072914
060,3318073501
019,3318074087
000,3318074674
000,3318075265
000,3318075856
000,3318076450
000,3318077044
000,3318077635
000,3318078220
000,3318078812
000,3318079398
000,3318079985
000,3318080577
000,3318081164
000,3318081757
000,3318082343
000,3318082935
000,3318083525
000,3318084115
000,3318084704
033,3318085298
084,3318086213
148,3318086803
172,3318087391
188,3318087973
199,3318088552
209,3318089568
216,3318090161
215,3318090761
204,3318091352
155,3318091939
109,3318092526
062,3318093117
020,3318093708
000,3318094295
000,3318094883
000,3318095468
000,3318096075
000,3318096642
000,3318097210
000,3318097777
000,3318098347
000,3318098919
000,3318099489
000,3318100058
000,3318100629
000,3318101201
000,3318101773
000,3318102341
000,3318102910
000,3318103485
000,3318104060
012,3318104632
058,3318105203
108,3318105859
148,3318106445
172,3318107031
188,3318107618
199,3318108206
208,3318108804
214,3318109397
216,3318109986
215,3318110572
191,3318111160
141,3318111743
096,3318112336
051,3318112924
008,3318113519
000,3318114148
000,3318114736
000,3318115339
000,3318115915
000,3318116491
000,3318117059
000,3318117631
000,3318118202
000,3318118775
000,3318119348
000,3318119918
000,3318120492
000,3318121063
000,3318121658
000,3318122225
000,3318122793
000,3318123365
000,3318123936
032,3318124504
079,3318125302
124,3318125900
167,3318126490
184,3318127073
195,3318127661
207,3318128249
212,3318128833
215,3318129419
215,3318130003
206,3318130588
162,3318131172
113,3318131760
066,3318132349
024,3318132956
000,3318133545
000,3318134135
000,3318134723
000,3318135363
000,3318135956
000,3318136548
000,3318137134
000,3318137717
000,3318138308
000,3318138891
000,3318139475
000,3318140062
000,3318140649
000,3318141238
000,3318141825
000,3318142414
000,3318143003
000,3318143592
032,3318144181
080,3318144780
128,3318145368
160,3318145953
180,3318146540
193,3318147127
204,3318147715
211,3318148298
215,3318148888
216,3318149472
213,3318150056
176,3318150645
126,3318151229
079,3318151818
038,3318152410
000,3318153003
000,3318153594
000,3318154177
000,3318154795
000,3318155366
000,3318155936
000,3318156509
000,3318157083
000,3318157654
000,3318158229
000,3318158802
000,3318159376
000,3318159945
000,3318160515
000,3318161086
000,3318161656
000,3318162229
000,3318162799
001,3318163370
043,3318163941
092,3318164546
135,3318165136
166,3318165723
183,3318166308
196,3318166893
206,3318167478
212,3318168065
215,3318168646
216,3318169230
209,3318169812
166,3318170392
117,3318170971
070,3318171553
030,3318172138
000,3318172726
000,3318173347
000,3318173946
000,3318174532
000,3318175121
000,3318175698
000,3318176269
000,3318176841
000,3318177414
000,3318177983
000,3318178556
000,3318179126
000,3318179711
000,3318180284
000,3318180856
000,3318181425
000,3318181996
000,3318182568
008,3318183138
052,3318183722
104,3318184308
142,3318184895
169,3318185481
185,3318186064
198,3318186646
207,3318187228
212,3318187807
215,3318188391
215,3318188974
203,3318189559
155,3318190142
110,3318190728
063,3318191316
021,3318191907
000,3318192491
000,3318193079
000,3318193705
000,3318194295
000,3318194885
000,3318195469
000,3318196057
000,3318196643
000,3318197228
000,3318197821
000,3318198408
000,3318198996
000,3318199583
000,3318200175
000,3318200762
000,3318201357
000,3318201945
000,3318202533
034,3318203270
081,3318203884
138,3318204467
167,3318205054
184,3318205641
197,3318206229
207,3318206823
212,3318207422
216,3318208015
216,3318208597
204,3318209165
156,3318209735
112,3318210305
067,3318210879
025,3318211452
000,3318212018
000,3318212586
000,3318213180
000,3318213778
000,3318214371
000,3318214960
000,3318215551
000,3318216141
000,3318216733
000,3318217321
000,3318217911
000,3318218496
000,3318219083
000,3318219695
000,3318220280
000,3318220868
000,3318221457
000,3318222046
024,3318222633
071,3318223270
124,3318223861
158,3318224447
177,3318225037
191,3318225626
201,3318226218
211,3318226806
215,3318227393
216,3318227979
215,3318228568
181,3318229158
130,3318229744
083,3318230340
040,3318230931
000,3318231533
000,3318232126
000,3318232763
000,3318233353
000,3318233943
000,3318234537
000,3318235123
000,3318235736
000,3318236324
000,3318236908
000,3318237496
000,3318238087
000,3318238678
000,3318239267
000,3318239855
000,3318240446
000,3318241037
000,3318241623
019,3318242249
066,3318242845
120,3318243433
154,3318244020
176,3318244606
189,3318245194
201,3318245782
210,3318246368
214,3318246956
216,3318247539
214,3318248124
185,3318248711
136,3318249295
089,3318249888
046,3318250479
003,3318251073
000,3318251657
000,3318252307
000,3318252894
000,3318253480
000,3318254064
000,3318254653
000,3318255244
000,3318255834
000,3318256422
000,3318257013
000,3318257599
000,3318258188
000,3318258771
000,3318259357
000,3318259949
